"headline","subheadline","author","content","newspaper","date"
"Candidato de APP, César Acuña, revela detalles financieros","","Na","Entrevista exclusiva con Ivan Slocovich. César Acuña discute sus ingresos y transparencia económica.","correo","2016/01/12"
"Messi genera controversia","","Na","Acuña aclara cifras de ingresos durante entrevista en aeropuerto internacional Jorge Chávez.","correo","2016/01/12"
"Historial financiero de Acuña bajo examen","Revisa tus números, César Acuña","Na","Explica cómo maneja sus ingresos y propiedades frente a investigaciones legales.","correo","2016/01/12"
"Ajustes administrativos en registro electoral","Aliados García y Lourdes afinaron ataques","Na","Problemas técnicos afectan la inscripción de la plancha presidencial de Alianza Popular.","correo","2016/01/12"
"Investigación sobre origen de fondos de Acuña","Piden clarificación sobre ingresos multimillonarios","Na","Walter Gutierrez destaca importancia de código de ética electoral.","correo","2016/01/12"
"Pronósticos políticos y tácticas electorales","Kuczynski critica práctica de compra de votos","Na","Pedro Pablo Kuczynski analiza acciones de competidores políticos.","correo","2016/01/12"
"Diferenciación ideológica en campaña electoral","Flores Nano confronta narrativa de Acuña","Na","Discusiones sobre percepciones de integridad y honestidad en campaña.","correo","2016/01/12"
"Evaluación de registros financieros de candidatos","Alan Garcia presenta datos de ingresos","Na","Detalles proporcionados sobre rentas y patrimonio de diversos contendientes.","correo","2016/01/12"
"Especializada.","","NA","","correo","2016/01/12"
"NACIONAL/MARTES 12 DE ENERO/2016","CORREO Mayor educación DIARIO CORREO.PE","NA","","correo","2016/01/12"
"Campus Virtual Romero inaugura cursos gratuitos","","NA","Una organización especializada en ofrecer recursos digitales, Campus Virtual Romero, ha inaugurado tres cursos: Plan de Negocio, Marketing Digital y Administración de Restaurantes, disponibles gratis en plataforma digital.","correo","2016/01/12"
"Aprende haciéndo","","Kattia Rocca","Lo que necesitan conocer los niños para entender su papel futbol y el impacto positivo que generan en el presente. Hoy en día, muchas instituciones educativas carecen de métodos innovadores que motiven genuinamente a los estudiantes.","correo","2016/01/12"
"Innovadoras técnicas en la educación","","krocca@grupoeditorial.com.pe","Las nuevas metodologías enfatizan en el ‘educar-haciendo’, donde los estudiantes experimentan directamente conceptos clave, favoreciendo así un aprendizaje significativo y duradero.","correo","2016/01/12"
"Sobre la situación actual en la educación peruana","","NA","Se destaca la falta de implementación masiva de técnicas modernas de enseñanza, tales como el aprendizaje interactivo, siendo necesario cambiar paradigmas para alcanzar resultados superiores en formación académica.","correo","2016/01/12"
