"headline","subheadline","author","content","newspaper","date","El loco del martillo","NA","La Seño María","Hoy en día, uno pensaría que..."
"El loco del martillo","","La Seño María","Hoy en día, uno pensaría que...","trome","2014/01/28","","","",""
"Contento por fin de cuarentena","Habla Trome","Ismael Lazo, Vecino de San Luis","Estoy feliz porque...","trome","2014/01/28","","","",""
"Corte de La Haya dio razón a Perú, que recuperó cerca de 50 mil kilómetros de mar","El Perú gana unos 50,000 km2, en total, 21, 000 del área en disputa y más de 28,000 del triángulo externo. 'Ahora se modifica el mapa de nuestro país, ya que ganamos el 70% de la demanda...","","A partir de ahora se modifica el mapa de nuestro país, ya que ganamos el 70% de la demanda...","trome","2014/01/28","","","",""
"Pide más apoyo para la pesca","Ahora que se ha definido la frontera marítima con Chile y que ha salido a la luz el tema de la pesca, el gobierno debería apoyar más a este sector. Es necesario que se evite la depredación de nuestro mar y se destinen más productos hidrobiológicos al consumo humano. Se está haciendo algo, pero se puede hacer más. Hilario Ruiz Melgar — hilarior—80©hotmai.com","Hilario Ruiz Melgar","Ahora, la pesca en nuestro país tiene otro panorama, pero independientemente del fallo de La Haya, este sector precisa de más apoyo. También habría que pensarlo más en Tacna.","trome","2014/01/28","","","",""
"Alarmado por rateros y drogadictos","Casi siempre, cuando detienen a un delincuente o una banda de hampones, la policía encuentra droga en sus bolsillos, incluso cuando caen en un gran asalto. Ello demuestra una directa relación entre la delincuencia y la drogadicción. Por ello, sería importante que se realice una lucha conjunta en estos dos campos. Jesús Morales T. — jeshu—mt123Bhotmail.com","Jesús Morales T.","Según estudios de Cedro, el consumo de 'pasta' está relacionado a la desocupación y la violencia. Los consumidores, muchas veces, roban hasta sus casas para conseguir dinero para su vicio.","trome","2014/01/28","","","",""
"Confesó que cargaba un cuchillo y solo esperaba el momento para asesinarla","Desde hace varios días cargaba un cuchillo y solo esperaba el momento para matarla, confesó, con total frialdad, el ingeniero Humberto Cornelio Anaya (29) a los policías, quienes lo interrogaron por el asesinato de su esposa Lila Gaspar Quispe (29).""","","Confesó que cargaba un cuchillo y solo esperaba el momento para asesinar a la madre de sus dos hijos. 'Aproveché que la tresola. Tarjuntamos, pero ella me dijo que estaba tranquila. Cuando le dije que tenía otro, ella se quedó callada y me enfurecí; narró. Agregó que había descubierto un mensaje que un sujeto le había enviado al celular de su esposa. La noche del sábado, el homicida atacó a la joven en el cuarto donde vivía y la llevó hasta un cerro en Jicamarca donde le cortó el cuello. (M.Rochabrum)","trome","2014/01/28","","","",""
"Una bala perdida, disparada en un enfrentamiento entre pandilleros, acabó con la vida del obrero de limpieza Wilder Pizarro Rufino (31), quien se encontraba con unos amigos esperando un taxi, en el Callao. Edwin Pizarro, mano de la ma, contó: 'La tarde del domingo, Wilder estaba con cinco amigos en el cruce de la avenida Arequipa con la calle Cusco. Habían tenido una reunión y él iba a regresar a su casa, en el sector de Dulanto. De pronto, unos muchachos pasaron enfrentándose a tiros. Una bala le impactó en el brazo y le atravesó el pecho. Agregó que el herido, quien trabajaba en el municipio del Callao, fue trasladado al hospital 'Daniel A. Carrión'; pero falleció. Wilder Pizarro era padre de tres hijos de cinco, tres y seis meses. (IYucra)","","","","trome","2014/01/28","","","",""
"En un lamentable accidente, siete carros chocaron en cadena y dos de ellos, uno montado brete el otro por el impacto, se estrellaron contra un bus. El vehículo que quedó debajo fue convertido a un montón de fierros, pero felizmente el chofer salió con vida. Hay alrededor de siete heridos, entre ellos cinco mujeres. Todo ocurrió a las 2:30 de la tarde en la cuadra 12 de la avenida Naranjal, cuando el bus BOK—703, de la empresa 'Translicsa', conducido por Óscar Chávez Olavarria (69), embistió a la Station Wagon caSGZ—839 y esta, en cadena, al Honda blanco, C9E—641 y al Hyundai rojo F1S—490. 'Un vehículo terminó volteado de costado a un lado de la vía. Luego, el Honda, por la fuerza del choque, voló y quedó cima. Ambos carros terminaron destrozados', dijeron los dos. 'El asiento del piloto es lo único que no terminó destrozado. El chofer tenía un rosario en el espejo que al parecer lo protegió, y tuvo que salir por la ventana', narró un bombero. Ricardo Calero Ríos (58), chofer del vehículo Honda blanco y pasajero, sufrieron tirones graves. Quedaron atrapados entre los fierros, pero los sacaron, tras hora y media de trabajo. 'Rosario milagroso', de milagro, el chofer del auto rojo, Jorge Rojas Silva (43), solo sufrió golpes en la cabeza y cuerpo, pero salvó de morir. 'El asiento del piloto es lo único que no terminó destrozado. El chofer tenía un rosario en el espejo que al parecer lo protegió, y tuvo que salir por la ventana', narró un bombero. Ricardo Calero Ríos (58), chofer del vehículo Honda blanco y pasajero, sufrieron tirones graves. Quedaron atrapados entre los fierros, pero los sacaron, tras hora y media de trabajo.","","","","trome","2014/01/28","","","",""
"En su misma casa y delante de sus amigas, con quien estaban tomando alcohol, el mototaxista Yoel Abelardo Oré Sánchez (22) fue asesinado de un balazo en la cabeza por su amigo, en Pachacámac. Las amigas de la víctima informaron que estaban reunidas en la Mz.G, lote 14, del sector Yarowilcas, en Chosica, cuando el licenciado EP Jhonatan Edinson Pardo Sedano (24) y se sumó al grupo. 'Yo salí al baño y al salir, Jhonatan le disparó en la cabeza sin razón alguna', dijeron las chicas, la dieron al herido al tal, pero los agentes fueron a la casa del autor del crimen, pero no lo encontraron. (M. Rochabrum)","","","","trome","2014/01/28","","","",""
"En Manchay, licenciado del Ejército asesina a mototaxista","En su misma casa y delante de sus amigas, con quien estaban tomando alcohol, el mototaxista Yoel Abelardo Oré Sánchez (22) fue asesinado de un balazo en la cabeza por su amigo, en Pachacámac. Las amigas de la víctima informaron que estaban reunidas en la Mz.G, lote 14, del sector Yarowilcas, en Chosica, cuando el licenciado EP Jhonatan Edinson Pardo Sedano (24) y se sumó al grupo. 'Yo salí al baño y al salir, Jhonatan le disparó en la cabeza sin razón alguna', dijeron las chicas, la dieron al herido al tal, pero los agentes fueron a la casa del autor del crimen, pero no lo encontraron. (M. Rochabrum)","","","trome","2014/01/28","","","",""
"En Huaral, barristas de la 'U' acuchillan a hincha de Alianza Lima","En su misma casa y delante de sus amigas, con quien estaban tomando alcohol, el mototaxista Yoel Abelardo Oré Sánchez (22) fue asesinado de un balazo en la cabeza por su amigo, en Pachacámac. Las amigas de la víctima informaron que estaban reunidas en la Mz.G, lote 14, del sector Yarowilcas, en Chosica, cuando el licenciado EP Jhonatan Edinson Pardo Sedano (24) y se sumó al grupo. 'Yo salí al baño y al salir, Jhonatan le disparó en la cabeza sin razón alguna', dijeron las chicas, la dieron al herido al tal, pero los agentes fueron a la casa del autor del crimen, pero no lo encontraron. (M. Rochabrum)","","","trome","2014/01/28","","","",""
"En Manchay, licenciado del Ejército asesina a mototaxista","En su misma casa y delante de sus amigas, con quien estaban tomando alcohol, el mototaxista Yoel Abelardo Oré Sánchez (22) fue asesinado de un balazo en la cabeza por su amigo, en Pachacámac. Las amigas de la víctima informaron que estaban reunidas en la Mz.G, lote 14, del sector Yarowilcas, en Chosica, cuando el licenciado EP Jhonatan Edinson Pardo Sedano (24) y se sumó al grupo. 'Yo salí al baño y al salir, Jhonatan le disparó en la cabeza sin razón alguna', dijeron las chicas, la dieron al herido al tal, pero los agentes fueron a la casa del autor del crimen, pero no lo encontraron. (M. Rochabrum)","","","trome","2014/01/28","","","",""
"","","","","trome","2014/01/28","Contento por fin de cuarentena","Habla Trome","Ismael Lazo, Vecino de San Luis","Estoy feliz porque..."
"","","","","trome","2014/01/28","La historia de la Avenida Arequipa","","","Cuando Augusto B. Leguía asumió el poder, el proyecto detrás de trazar una gran avenida que uniera los balnearios de veraneo con el Centro ya existía, aunque no se había podido hacer porque los dueños de algunos fundos se oponían a que la vía pública atravesara sus tierras. La solución del presidente fue emitir un decreto que ordenaba la expropiación de los terrenos comprendidos en el trazo. La Avenida Leguía, que desde 1930 se llamó Arequipa, tiene una extensión de 15 kilómetros. Para su ornamentación, en honor a los ángeles, se plantaron árboles exóticos que fueron marcando las distintas zonas. Esta arteria fue, sin lugar a dudas, el eje de la expansión hacia el sur. Con la Avenida Grau se inauguró en 1921 con motivo del Centenario de la Independencia del Perú, arteria que divide en dos grandes segmentos a la ciudad. A los lados de esta gran avenida se construyeron jujosas casonas, que hacían alarde de buen gusto y suntuosidad. Las hermosas estructuras fueron desapareciendo progresivamente y el aire residencial de la avenida fue reemplazado por una gran actividad comercial, entre la cual destacan la oferta educativa, ya que la avenida acogió gran cantidad de academias preuniversitarias, colegios regulares, colegios no escolarizados, institutos de educación superior y hasta universidades. La alta concentración de rutas de transporte colectivo convierte a la Avenida Arequipa en una de las vías de mayor contaminación ambiental y sonoridad de la ciudad, así como una de las vías más lentas en las horas pico."
"","","","","trome","2014/01/28","Pedro Legitimar/Petauro paulet","","","La forma apropiada es legitimar que significa 'probar algo conforme a las leyes'. Es un pequeño marsupial conocido como petauro de azúcar porque tiene una bolsa donde guarda a su bebé) que habita en Australia, Indonesia, Nueva Guinea y Tanzania, es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción."
"","","","","trome","2014/01/28","Pedro Legitimar/Petauro paulet","","","La forma apropiada es legitimar que significa 'probar algo conforme a las leyes'. Es un pequeño marsupial conocido como petauro de azúcar porque tiene una bolsa donde guarda a su bebé) que habita en Australia, Indonesia, Nueva Guinea y Tanzania, es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción."
"","","","","trome","2014/01/28","Pedro Legitimar/Petauro paulet","","","La forma apropiada es legitimar que significa 'probar algo conforme a las leyes'. Es un pequeño marsupial conocido como petauro de azúcar porque tiene una bolsa donde guarda a su bebé) que habita en Australia, Indonesia, Nueva Guinea y Tanzania, es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción."
"","","","","trome","2014/01/28","Pedro Legitimar/Petauro paulet","","","La forma apropiada es legitimar que significa 'probar algo conforme a las leyes'. Es un pequeño marsupial conocido como petauro de azúcar porque tiene una bolsa donde guarda a su bebé) que habita en Australia, Indonesia, Nueva Guinea y Tanzania, es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción."
"","","","","trome","2014/01/28","Pedro Legitimar/Petauro paulet","","","La forma apropiada es legitimar que significa 'probar algo conforme a las leyes'. Es un pequeño marsupial conocido como petauro de azúcar porque tiene una bolsa donde guarda a su bebé) que habita en Australia, Indonesia, Nueva Guinea y Tanzania, es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción."
"","","","","trome","2014/01/28","Pedro Legitimar/Petauro paulet","","","La forma apropiada es legitimar que significa 'probar algo conforme a las leyes'. Es un pequeño marsupial conocido como petauro de azúcar porque tiene una bolsa donde guarda a su bebé) que habita en Australia, Indonesia, Nueva Guinea y Tanzania, es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción."
"","","","","trome","2014/01/28","Pedro Legitimar/Petauro paulet","","","La forma apropiada es legitimar que significa 'probar algo conforme a las leyes'. Es un pequeño marsupial conocido como petauro de azúcar porque tiene una bolsa donde guarda a su bebé) que habita en Australia, Indonesia, Nueva Guinea y Tanzania, es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción."
"","","","","trome","2014/01/28","Pedro Legitimar/Petauro paulet","","","La forma apropiada es legitimar que significa 'probar algo conforme a las leyes'. Es un pequeño marsupial conocido como petauro de azúcar porque tiene una bolsa donde guarda a su bebé) que habita en Australia, Indonesia, Nueva Guinea y Tanzania, es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción."
"","","","","trome","2014/01/28","Pedro Legitimar/Petauro paulet","","","La forma apropiada es legitimar que significa 'probar algo conforme a las leyes'. Es un pequeño marsupial conocido como petauro de azúcar porque tiene una bolsa donde guarda a su bebé) que habita en Australia, Indonesia, Nueva Guinea y Tanzania, es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción."
"","","","","trome","2014/01/28","Pedro Legitimar/Petauro paulet","","","La forma apropiada es legitimar que significa 'probar algo conforme a las leyes'. Es un pequeño marsupial conocido como petauro de azúcar porque tiene una bolsa donde guarda a su bebé) que habita en Australia, Indonesia, Nueva Guinea y Tanzania, es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción."
"","","","","trome","2014/01/28","Pedro Legitimar/Petauro paulet","","","La forma apropiada es legitimar que significa 'probar algo conforme a las leyes'. Es un pequeño marsupial conocido como petauro de azúcar porque tiene una bolsa donde guarda a su bebé) que habita en Australia, Indonesia, Nueva Guinea y Tanzania, es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción."
"","","","","trome","2014/01/28","Pedro Legitimar/Petauro paulet","","","La forma apropiada es legitimar que significa 'probar algo conforme a las leyes'. Es un pequeño marsupial conocido como petauro de azúcar porque tiene una bolsa donde guarda a su bebé) que habita en Australia, Indonesia, Nueva Guinea y Tanzania, es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción."
"","","","","trome","2014/01/28","Pedro Legitimar/Petauro paulet","","","La forma apropiada es legitimar que significa 'probar algo conforme a las leyes'. Es un pequeño marsupial conocido como petauro de azúcar porque tiene una bolsa donde guarda a su bebé) que habita en Australia, Indonesia, Nueva Guinea y Tanzania, es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción."
"","","","","trome","2014/01/28","Pedro Legitimar/Petauro paulet","","","La forma apropiada es legitimar que significa 'probar algo conforme a las leyes'. Es un pequeño marsupial conocido como petauro de azúcar porque tiene una bolsa donde guarda a su bebé) que habita en Australia, Indonesia, Nueva Guinea y Tanzania, es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción. Es considerado el inventor y precursor indiscutible de la propulsión a reacción. Nació en 1874 y murió en 1945, diseñando un avión torpedosobre la base de un motor industrial a reacción."
