"headline","subheadline","author","content","newspaper","date"
"Página 19 Copa América: Nery Pumpido dice que Pedro Gallese estuvo cerca de integrar el once ideal","Lima, martes 16 de Julio del 2019","","Nery Pumpido, director técnico argentino, manifestó que el portero peruano Pedro Gallese mereció figurar en el onceno ideal de la recién finalizada Copa América.","elcomercio","2019/07/16"
"Caso 'Los Cuellos Blancos': Relacionan a funcionarios judiciales","","Carlos Neyra","Walter Ríos Montalvo, ex presidente de la Corte Superior de Justicia del Callao (CSJC), declaró ante la Fiscalía Suprem... relacionándolo con Daniel Peirano, suspendido juez superior de la corte del Callao.","elcomercio","2019/07/16"
"Nueva etapa en protestas anti-Tía María","-Protestas continúan en Islay.- Ejecutivo busca mediación.","","En el contexto de nuevas protestas en Islay contra el proyecto minero Tía María, miles de personas protagonizaron un nuevo paro indefinido....","elcomercio","2019/07/16"
"Derechos humanos bajo tensión: Indignación por posible intervencionismo gubernamental","Congresista sugiere influencia oficial en juicios.;Ministros prometen diálogo.","Ernesto Quijlaca","Vilcatoma afirma que el gobierno incitaría falsamente a Goro a implicarla en irregularidades judiciales. Esto genera controversia política significativa.","elcomercio","2019/07/16"
"Investigan accidente industrial en Huancavelica","Relaves contaminan río Mantaro después de incidente en planta de Doe Run Perú.","","Tras un derrame accidental en una operación minera, el Ministerio Público abre una investigación preliminar junto con OEFA y fuerzas de orden.","elcomercio","2019/07/16"
"Lamentable fatalidad en Ayacucho: Derrumbamiento causa pérdida humana","Dos obreros sufren consecuencia mortal durante reparaciones en histórica propiedad.","","Un lamentable accidente ocurre en Ayacucho, causando la muerte de un joven obrero durante trabajos de remodelación en una antigua casa colonial.","elcomercio","2019/07/16"
"Fiestas Patrias.","","","libros y documentos histórico que datan de 1534 hasta 1834. Además, guarda objetos considerados verdaderas joyas: los tinteros de plata que sirvieron para la suscripción del Acta de la Independencia y una llave de plata de la Ciudad que fue donada por el Virrey José Fernando de Abascal a la Familia Lavalle.","elcomercio","2019/07/16"
"Mundo.;Crisis Interminable en Venezuela.","Juan Francisco Alonso","Escenario Incierto: A seis meses de haber jurado como presidente interino, Juan Guaidó no ha conseguido desplazar del poder a Nicolás Maduro. Continúa siendo popular, aunque expertos advierten que su liderazgo no está completamente asegurado.","","elcomercio","2019/07/16"
"Crisis Interminable en Venezuela.","Continúa siendo popular...","AFP","En palabras de Juan Manuel Trak, 'Las primeras opciones puestas sobre el tapete han quedado descartadas', destacando que dentro del sector castrense podrían estar evaluando otras opciones como la Mesa de Negociación de Noruega.","elcomercio","2019/07/16"
"Flyboard: Soldado Volador Francés.","","Casco cuenta con un sistema que permite conocer a qué velocidad y altitud se encuentra el aparato. Plataforma impulsada por 5 turbinoreactores de aire. Autonomía de vuelo 10 minutos. Velocidad máxima 200 km/h. Altura máxima 2.000 metros.","","elcomercio","2019/07/16"
"Peligro en la Cancha Económica.","Indicadores Sectoriales","Unidad de Análisis Económico de El Comercio","Producción Minera (Promedio Movil 12 Meses, Índice, 2007=100); Manufactura No Primaria (Promedio Movil 12 Meses, Índice, 2007=100); Construcción (Promedio Movil 12 Meses, Índice, 2007=100)","elcomercio","2019/07/16"
"Growth Weakness Analysis","","","In those years (2009, 2014, 2015, and 2017), adjusted projections by the BCR were superior to the final results. Observing this trend, given BCR's extensive macroeconomic data handling capabilities, there’s likely chance growth for this year will end below 3.4%.","elcomercio","2019/07/16"
"Economic Radar Quote","","Steven Mnuchin","'We have serious concerns about Libra being used for money laundering and financing terrorism.' Secretary of Treasury of USA.","elcomercio","2019/07/16"
"Arena Debate on Economic Growth","Are We Really Stagnating?","Juan José Marthans","Nobody denies economic slowdown amidst international commercial, financial, geopolitical noise, and domestic political tension. However, acknowledging our GDP growth rate decline differs vastly from claiming open stagnation. Over recent decades, Peru has shown average annual growth of 5%, outperforming countries like Chile which logged 3.8%, while Latin America averaged 2.5%. Expected current-year growth between 3%-3.5% surpasses averages seen in Chile, Colombia, Mexico despite less achievement potential. Reality isn't comfortable but far removed from true stagnancy.","elcomercio","2019/07/16"
"Fiscal Policy Outlook","Minimum Wage Formula Ready By August?","Katherine Mazá Mercado","After disagreements over minimum wage calculation methodology within National Labor Council, Ministry of Employment decided to revise said methodological approach. Current consensus suggests better second half performance compared to earlier months without unforeseen negative external events leading to improved outlook for next year. Discussions continue regarding employment incentives targeting youth investment sectors including agriculture, tourism, telecommunications, retail among others.","elcomercio","2019/07/16"
"Public Service Reform Update","Changes to Evaluation Articles Approved","","The Public Services Authority may now provide technical assistance during personnel selection processes following approval changes made last week by President of Ministers' Council designating a new head for the entity responsible for civil service management.","elcomercio","2019/07/16"
"¿Hay una tendencia perceptible en juego aquí?","NA","© (cid:31) e New York Times","Expertos habían pronosticado que traería una toma de control populista. Sin embrago, no solo los populistas, como el partido AFD de Alemania, tuvieron un desempeño inferior al esperado, sino que también están lejos de poder formar una mayoría. La propia Europa Occidental no ha estado totalmente desprovista de resultados liberales. En Dinamarca, los socialdemócratas tuvieron una rara victoria nacional sobre los populistas de derecha el mes pasado. Los populistas también se han mantenido fuera de los gobiernos recientes formados en Finlandia, Suecia y Estonia. Del mismo modo, el Partido Socialista de España derrotó a los populistas con facilidad.","elcomercio","2019/07/16"
"Tendencias globales frente al populismo","NA","New York Times","Sin embargo, la pregunta sigue siendo: ¿hay una tendencia perceptible en juego aquí? Primeramente, los líderes populistas tienden a ser pobres en el gobierno, especialmente en el ámbito de la política económica. Segundo, mientras Rusia haga sentir incertidumbre a los países europeos, lugares como Polonia evitan volverse excesivamente populistas. Tercero, mientras que los votantes en Europa retiran su apoyo a los partidos tradicionalmente de centroizquierda y centrorderecha, los partidos liberales ofrecen políticas firmemente anti-populistas. Podría requerirse más tiempo para discernir si existe una tendencia global significativa hacia 'una respuesta contundente ante otra'. No obstante, en Centroeuropa, la evidencia indica claridad. La batalla contra el populismo se une a fuerzas liberales renovadas. El valioso orden internacional liberal, aunque herido, persiste notablemente. ","elcomercio","2019/07/16"
"Clase Media y Desigualdad en el Perú","FRANCISCO Miró Quesada Rada Exdirector de El Comercio","Francisco Miró Quesada Rada","Según un reportaje de El Comercio, el Perú se ha transformado en una sociedad de clase media. Este fenómeno responde al impulso económico iniciado en nuestro país desde 1990 y que perdura actualmente. Un análisis revela que trece millones cuatrocientos sesenta mil individuos conforman esta nueva categoría socio-económica, reflejando un incremento considerable respecto a los cinco millones doscientos mil registrados en el año 2004. Adicionalmente, según el documento citado, \el espectro salarial de aquellos dentro de la clase media oscila entre los USD $12,40 y los USD $62 diarios\"". Consecuentemente, se infiere que la proporción de ciudadanos clasificados bajo la denominación de clase media casi se duplicó en los últimos quince años, ascendiendo del 19 % registrado en 2004 al 41,5 % observado en 2018.""","elcomercio","2019/07/16"
"Distribución de la Riqueza Global","Mirada de Fondo","François Durán","A pesar del aumento percibido en la calidad de vida asociada al surgimiento de la clase media en el Perú, subsiste una discrepancia fundamental relacionada con la distribución inequitativa de la fortuna. Tal paradigma sugiere que, aún con tasas positivas de expansión económica post-crisis financiera de 2008, la brecha entre ricos y pobres se ensancha continuadamente. Datos proporcionados por investigadores destacados indican que los ingresos medios anuales del decilio menos favorecido alcanzan apenas los USD $965, contrastando drásticamente con los USD $20.141 correspondientes al segmento superior. Esta polarización monetaria representa una amplificación de 20,9 veces entre ambos grupos sociales. Resulta imperativo reflexionar sobre cómo tales dinámicas influyen negativamente en los pilares fundamentales de cualquier estructura democrática, comprometiéndose severamente con el ideal de equitabilidad inherente a tal régimen gubernamental.","elcomercio","2019/07/16"
